count ,study_id,origin,org_level,flux_treatment,flux_pattern,temp_ini,mean_temp,min_temp,max_temp,period_flux,resp_def,resp_units,response,resp_quality,samp_size,variance_type,variance,genus,species,larger_group,exp_age,size,gen_time,gen_time_units,gen_time_temp,add_covariate ,add_covariate_value,extra_covariate ,extra_value,add_info,time_point ,time_units
1,du2009,figure 3,0,0,,,28,28,28,,body mass,g,5.628507795,1,24,0,0.128285078,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
1,du2009,figure 3,0,1,1,,28,25,31,24,body mass,g,5.248997773,1,25,0,0.160356347,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
1,du2009,figure 3,0,1,1,,28,22,34,24,body mass,g,5.323830735,1,25,0,0.277951002,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
1,du2009,figure 3,0,0,,,28,28,28,,body mass,g,5.628507795,1,14,0,0.098886414,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
1,du2009,figure 3,0,1,1,,28,25,31,24,body mass,g,5.248997773,1,9,0,0.098886414,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
1,du2009,figure 3,0,1,1,,28,22,34,24,body mass,g,5.259688196,1,3,0,0.096213808,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
2,du2009,figure 3,0,0,,,28,28,28,,carapace height,mm,28.11333333,1,24,0,0.24,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
2,du2009,figure 3,0,1,1,,28,25,31,24,carapace height,mm,27.26,1,25,0,0.306666667,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
2,du2009,figure 3,0,1,1,,28,22,34,24,carapace height,mm,27.36666667,1,25,0,0.526666667,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
2,du2009,figure 3,0,0,,,28,28,28,,carapace height,mm,28.10888889,1,14,0,0.186666667,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
2,du2009,figure 3,0,1,1,,28,25,31,24,carapace height,mm,27.70444444,1,9,0,0.184444444,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
2,du2009,figure 3,0,1,1,,28,22,34,24,carapace height,mm,27.84666667,1,3,0,0.177777778,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
3,du2009,figure 3,0,0,,,28,28,28,,carapace width ,mm,22.70646739,1,24,0,0.294619565,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
3,du2009,figure 3,0,1,1,,28,25,31,24,carapace width ,mm,21.53460404,1,25,0,0.378348214,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
3,du2009,figure 3,0,1,1,,28,22,34,24,carapace width ,mm,21.98325311,1,25,0,0.649553571,Chinemys ,reevesii,1,0,2,,,,sex,male,,,,,
3,du2009,figure 3,0,0,,,28,28,28,,carapace width ,mm,22.63950311,1,14,0,0.220958851,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
3,du2009,figure 3,0,1,1,,28,25,31,24,carapace width ,mm,21.78906832,1,9,0,0.231026786,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
3,du2009,figure 3,0,1,1,,28,22,34,24,carapace width ,mm,22.21093168,1,3,0,0.234375,Chinemys ,reevesii,1,0,2,,,,sex,female,,,,,
4,du2009,figure 4,0,0,,,28,28,28,,body mass,g,270.773639,1,23,0,15.04297994,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,455.8352983,
4,du2009,figure 4,0,0,,,28,28,28,,body mass,g,238.6819484,1,23,0,13.53868195,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,389.529152,
4,du2009,figure 4,0,0,,,28,28,28,,body mass,g,153.4383954,1,23,0,5.515759312,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,270.0558653,
4,du2009,figure 4,0,0,,,28,28,28,,body mass,g,68.19484241,1,23,0,3.760744986,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,179.7576289,
4,du2009,figure 4,0,0,,,28,28,28,,body mass,g,34.0974212,1,23,0,3.760744986,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,89.31237857,
4,du2009,figure 4,0,0,,,28,28,28,,body mass,g,6.017191977,1,23,0,,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,0,
5,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,309.8853868,1,24,0,21.06017192,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,455.7228759,
5,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,252.722063,1,24,0,13.03724928,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,389.4887952,
5,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,153.4383954,1,24,0,5.515759312,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,269.0498291,
5,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,71.2034384,1,24,0,5.014326648,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,178.7429448,
5,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,34.0974212,1,24,0,5.014326648,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,89.31237857,
5,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,6.017191977,1,24,0,,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,0,
6,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,300.8595989,1,24,0,16.04584527,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,455.7488196,
6,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,263.252149,1,24,0,13.28796562,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,389.4585277,
6,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,165.4727794,1,24,0,6.518624642,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,269.0152376,
6,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,80.22922636,1,24,0,5.515759312,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,179.7230374,
6,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,40.11461318,1,24,0,3.008595989,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,89.29508282,
6,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,5.014326648,1,24,0,,Chinemys ,reevesii,1,1,2,,,,sex,female,,,,0,
7,du2009,figure 4,0,0,,,28,28,28,,body mass,g,129.3696275,1,14,0,25.07163324,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,455.2357123,
7,du2009,figure 4,0,0,,,28,28,28,,body mass,g,111.3180516,1,14,0,38.10888252,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,388.8892092,
7,du2009,figure 4,0,0,,,28,28,28,,body mass,g,103.2951289,1,14,0,18.05157593,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,270.1999965,
7,du2009,figure 4,0,0,,,28,28,28,,body mass,g,63.18051576,1,14,0,7.020057307,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,179.772042,
7,du2009,figure 4,0,0,,,28,28,28,,body mass,g,38.10888252,1,14,0,8.524355301,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,89.30084807,
7,du2009,figure 4,0,0,,,28,28,28,,body mass,g,6.017191977,1,14,0,,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,0,
8,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,108.3094556,1,9,0,23.56733524,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,457.3083198,
8,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,97.27793696,1,9,0,22.56446991,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,389.9356022,
8,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,95.2722063,1,9,0,12.03438395,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,269.2170213,
8,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,60.17191977,1,9,0,6.518624642,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,178.7746537,
8,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,29.08309456,1,9,0,4.512893983,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,89.3267917,
8,du2009,figure 4,0,1,1,,28,25,31,24,body mass,g,6.017191977,1,9,0,,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,0,
9,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,108.3094556,1,3,0,24.57020057,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,457.3083198,
9,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,112.3209169,1,3,0,17.8008596,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,389.8923628,
9,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,103.2951289,1,3,0,18.5530086,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,269.1939603,
9,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,61.1747851,1,3,0,10.0286533,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,180.7838435,
9,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,39.11174785,1,3,0,11.03151862,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,89.29796544,
9,du2009,figure 4,0,1,1,,28,22,34,24,body mass,g,6.017191977,1,3,0,,Chinemys ,reevesii,1,1,2,,,,sex,male,,,,0,
10,garcaruiz2011,table 1,0,0,,24,15,15,15,,developmental time,days ,29.48,0,101,0,0.07,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,18,18,18,,developmental time,days ,17.52,0,114,0,0.05,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,21,21,21,,developmental time,days ,10.3,0,107,0,0.07,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,24,24,24,,developmental time,days ,8.02,0,115,0,0.02,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,27,27,27,,developmental time,days ,7,0,77,0,0,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,30,30,30,,developmental time,days ,6.95,0,106,0,0.03,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,32,32,32,,developmental time,days ,6.03,0,68,0,0.09,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,34,34,34,,developmental time,days ,6.41,0,144,0,0.09,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
10,garcaruiz2011,table 1,0,0,,24,35,35,35,24,developmental time,days ,7.48,0,178,0,0.12,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,15,12,18.5,24,developmental time,days ,29.6,0,113,0,0.32,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,18,12,24.5,24,developmental time,days ,16.04,0,155,0,0.04,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,21,14.5,27.5,24,developmental time,days ,11.48,0,148,0,0.08,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,24,17,30,24,developmental time,days ,10.61,0,184,0,0.04,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,27,17.5,30.5,24,developmental time,days ,7.56,0,186,0,0.04,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,30,23.5,36.5,24,developmental time,days ,7.32,0,150,0,0.07,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,32,26.5,36.5,24,developmental time,days ,7.25,0,96,0,0.09,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,34,30.5,36.5,24,developmental time,days ,7.31,0,128,0,0.15,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
11,garcaruiz2011,table 1,0,1,1,24,35,32,36.5,24,developmental time,days ,8,0,103,0,,Xylotrechus ,arvicola,1,1,1,,,,,,,,,,
12,glass2019,figure 2a,0,1,1,,28,23,33,24,"ovary mass, dry",mg,7.966804979,1,,0,1.12033195,Gryllus ,firmus,1,1,1,,,,food availability ,low ,morph ,long winged,,,
